FILTER,USERNAME,URL,TWEET,TIMESTAMP,,,,
x,AmiSri,https://pbs.twimg.com/media/BU7SkW-CAAEi_sT.jpg,7.8 quake hits Pakistan. (Intensity at epicenter) #Earthquake,2013-09-24T12:00:16.000Z,,India,77,20.0:
x,Vadverdj,https://pbs.twimg.com/media/BU4ahhKCEAAHVkg.jpg,RT @BhavyaBhatia3: _¢‚Ç¨_ì@Vadverdj: #earthquake once again. May ALLAH keep everyone safe. Aameen. #Karachi_¢‚Ç¨¬ù omg,2013-09-24T12:00:18.000Z,Sindh,Pakistan,67.0822,24.9056:
x,Tahrirlaser,https://pbs.twimg.com/media/BU7SopqCIAARThc.jpg,RT @PervezEngr: Extreme Grief #Peshawar CHURCH Bombings BUT2nd Caliph Omar bin KhetabPROMISEDhttp://t.co/gn3faeDgVO#Syria #Egypt #Sa_¢‚Ç¨¬¶,2013-09-24T12:00:20.000Z,,,,:
x,mafett3,https://pbs.twimg.com/media/BU7PHGICMAAN_5O.jpg,"RT @AlArabiya_Eng: #BreakingNews:   Quake of 7.8 magnitude strikes 145 miles south-south east of Dalbandin in Baluchistan, #Pakistan",2013-09-24T12:00:40.000Z,,,,:
x,nasser_alhinai2,https://pbs.twimg.com/media/BU7SvJaCEAATtBz.jpg,@ALEMDAD: #_ò¬__ò¬ß_ò¬¨_ô‚Äû#_ò¬__ô‚Äû_ò¬__ò¬ß_ô‚Äû _ô‚Äö_ôÀÜ_ô_† _ô¬Å_ô_† #_ò¬®_ò¬ß_ô_í_ò¬__ò¬™_ò¬ß_ô‚Ä† _ô‚Äö_ôÀÜ_ò¬© _ô¬ß._ô¬•7.5 #earthquake in #Pakistan http://t.co/v9E8g89D8s http://t.co/2r1Vor1I6q,2013-09-24T12:00:04.000Z,,Oman,57,21.0:
x,asfaruqui,https://pbs.twimg.com/media/BU7QN6tCUAASNA7.jpg,RT @Moiz: It seems like the #earthquake hit twitter harder than the city. #Karachi,2013-09-24T12:00:52.000Z,,,,:
x,KamalFaridi,https://pbs.twimg.com/media/BU7SopqCIAARThc.jpg,#Pakistan PHC orders legislation against illegal SIMs - Business Recorder: Business RecorderPHC orders legisla... http://t.co/wWFGdqFrA8,2013-09-24T12:01:42.000Z,,,,:
x,sanmansp,https://pbs.twimg.com/media/BU7SopqCIAARThc.jpg,#emergency #earthquake in #ncr #noida,2013-09-24T12:01:43.000Z,,,,:
x,FaysalAbbaci,https://pbs.twimg.com/media/BU7RLkhCYAE8QM_.png,"Stay safe ""@FaizaYousuf: Just called home, everyone is out. I hope everything settles down soon! #Karachi #Earthquake""",2013-09-24T12:01:47.000Z,Punjab,Pakistan,74.34361,31.54972:
x,shuvankr,https://pbs.twimg.com/media/BU7SopqCIAARThc.jpg,USGS Shakemap ( Cat IX)  Pager will be Red http://t.co/W3ANUPdgWu _¢‚Ç¨¬¶  #Pakistan #Earthquake,2013-09-24T12:01:20.000Z,,,,:
x,KamalFaridi,https://pbs.twimg.com/media/BU7SopqCIAARThc.jpg,#Pakistan Pak Islamic Council says no need to amend country's blasphemy laws - Newstrack India: The Express Tr... http://t.co/wzFyr2zNha,2013-09-24T12:01:42.000Z,,,,:
x,4mTelangana,https://pbs.twimg.com/media/BU7Szc8CQAANZXl.jpg,"RT @680News: 7.5-magnitude #earthquake strikes southern coast of #Pakistan, USGS says. No reports of damages or injuries. http://t.co/1HCyc_¢‚Ç¨¬¶",2013-09-24T12:01:49.000Z,,,,:
x,AKcrazy18,https://pbs.twimg.com/media/BU7SopqCIAARThc.jpg,RT @FaToTheRah: Or mini skirts pehan k sea side pe ghumo :p #MahnoorBaloch #Karachi #EarthQuake,2013-09-24T12:01:36.000Z,,,,:
x,KamalFaridi,https://pbs.twimg.com/media/BU7SopqCIAARThc.jpg,#Pakistan Nairobi Live: `White Widow` entered Kenya with South African passport? - Zee News: Indian ExpressNai... http://t.co/mlw4k420p6,2013-09-24T12:01:42.000Z,,,,:
x,StarkRaving1,https://pbs.twimg.com/media/BU7SopqCIAARThc.jpg,"7.7 Earthquake PAKISTAN: Tuesday, 24 September 2013 16:29:49 PST 10 120 km SW of Khuzdar, Balochistan 7.7http://t.co/XXv4xOUspv#earthquake",2013-09-24T12:01:58.000Z,,,,:
x,sanmansp,https://pbs.twimg.com/media/BU7S0fwCcAALKmW.jpg,#earthquake in #noida #ncr #india,2013-09-24T12:01:43.000Z,,,,:
x,KidUnlucky,https://pbs.twimg.com/media/BU7SopqCIAARThc.jpg,RT @FaToTheRah: Or mini skirts pehan k sea side pe ghumo :p #MahnoorBaloch #Karachi #EarthQuake,2013-09-24T12:02:03.000Z,,,,:
x,piil03,https://pbs.twimg.com/media/BU7S0fwCcAALKmW.jpg,"RT @AlArabiya_Eng: #BreakingNews:   Quake of 7.8 magnitude strikes 145 miles south-south east of Dalbandin in Baluchistan, #Pakistan",2013-09-24T12:02:06.000Z,,,,:
x,sadem33,https://pbs.twimg.com/media/BU7SopqCIAARThc.jpg,RT @MogolKurdu: #SONDAK_Ñ¬_KA #Pakistan'_Ñ¬±n #Belucistan eyaletinde 7.8 b_É¬ºy_É¬ºkl_É¬º_Ñ___É¬ºnde bir deprem meydana geldi.,2013-09-24T12:02:42.000Z,,,,:
x,z_a_siddiqui,https://pbs.twimg.com/media/BU7PHGICMAAN_5O.jpg,RT @WasayJalil: #Karachi mein bhee Zalzalay  Kay jhatkay mehsoos kiay gai Qasam say #MQM ka is say koi talluq Nahi hay #Pakistan #EarthQuake,2013-09-24T12:02:05.000Z,Sindh,Pakistan,67.0822,24.9056:
x,adhy_007,https://fbcdn-sphotos-c-a.akamaihd.net/hphotos-ak-frc1/q71/1229836_617979738253524_589310507_n.jpg,RT @waddeywaheed: BREAKING: 7.8 magnitude quake strikes #Pakistan DETAILS TO FOLLOW_¢‚Ç¨¬ù,2013-09-24T12:02:26.000Z,Maale,Maldives,73.50888,4.1748:
x,affandawood,https://pbs.twimg.com/media/BUe7vD7CYAAu2H6.jpg,RT @SyedFarhanShah3: @ImranKhanPTI Sb Ko #Earthquake Sye Pehly Karachi Main Majud Hona Chahiye tha.. Raza Rumanvi,2013-09-24T12:02:19.000Z,,,,:
x,Shah_KPK,https://pbs.twimg.com/media/BU7TIboCUAAXZUb.jpg,RT @RT_com: UPDATE: 7.4 quake strikes southwestern #Pakistan with tremors felt across region and as far as Delhi http://t.co/fmytyHEJf4,2013-09-24T12:02:36.000Z,,Pakistan,70,30.0:
x,IamImraanKhan,https://pbs.twimg.com/media/BU7SopqCIAARThc.jpg,All those who were making fun at the time :( #earthquake,2013-09-24T12:03:33.000Z,,Pakistan,70,30.0:
x,miiheiko,https://pbs.twimg.com/media/BU7TPCKCIAESqjW.jpg,RT @nitabhalla: #Pakistan #earthquake revised down to 7.4/7.5 magnitude and depth varies from 10km to 22 km says usgs and gdacs #india #dis_¢‚Ç¨¬¶,2013-09-24T12:03:59.000Z,,,,:
x,adeelkhan77,https://scontent-b-ord.xx.fbcdn.net/hphotos-prn1/s720x720/1234756_558140757584520_638829625_n.png,#EarthQuake 7.4 69 Km NNE Awaran #Pakistan 23 Km deep. Tremors felt #Pakistan #India #Oman #UAE_¢‚Ç¨¬¶ http://t.co/tHc9A5Sqmz,2013-09-24T12:03:32.000Z,Masqa_Ö¬£,Oman,58.5922,23.61387:
x,ItsRmsha,https://pbs.twimg.com/media/BU7QX4LCEAAb7Xh.jpg,"RT @etribune: (Breaking) According to USGS, the earthquake lasted for eight seconds http://t.co/C6ZRzBMTyM #Pakistan",2013-09-24T12:04:01.000Z,,,,:
x,IrfanAhmed57,https://pbs.twimg.com/media/BU7ThR_CAAEkTfy.jpg,"RT @Razarumi: Stay safe Pak- Strong #earthquake, 7.8 magnitude, reported in Balochistan, #Pakistan, USGS says; shaking felt across region -_¢‚Ç¨¬¶",2013-09-24T12:04:48.000Z,,,,:
x,kamerunAlvarez1,https://fbcdn-profile-a.akamaihd.net/hprofile-ak-prn1/50213_558055487593047_161113075_q.jpg,"RT @INFOen140: #ALERTA - REITERAMOS Fuerte terremoto en #Pakistan. Los primeros reportes indican que seria de 7,4",2013-09-24T12:04:15.000Z,Misiones,Argentina,-55.11994,-27.48706:
x,Madina_e_Sani,https://pbs.twimg.com/media/BU7PHGICMAAN_5O.jpg,Video | Maria Shah: Raise your voice for #Kashmir | http://t.co/lLYnDL5HZl #YFK #Pakistan @kashmir4pak,2013-09-24T12:04:19.000Z,,,,:
x,Avilyn_18,https://pbs.twimg.com/media/BU7PHGICMAAN_5O.jpg,@kirti_2758 heard abt d #Earthquake tremors felt in Delhi..hope u r ok.,2013-09-24T12:04:08.000Z,Mah_Ñ¬År_Ñ¬Åshtra,India,72.88261,19.07283:
x,Newspoint2,https://pbs.twimg.com/media/BU7ThnICQAAtfF4.jpg,"#BreakingPoint:QUETTA: Awaran me Zalzalay ke Shadeed Jhatkon se Kachay Makanat Gir gaye,Jani Nuqsan ki Ithlaa nai Mili.#Earthquake",2013-09-24T12:04:21.000Z,Balochist_Ñ¬Ån,Pakistan,67.00971,30.199:
x,Assadyousufzai,https://pbs.twimg.com/media/BU7TIboCUAAXZUb.jpg,#ThatsMyIK i cann't foget that Night #LoveYouKhan #PTI #PTIFamily #Pakistan http://t.co/HCjJmALvTm,2013-09-24T12:04:22.000Z,,,,:
x,avadheshmahajan,https://pbs.twimg.com/media/BU7S0fwCcAALKmW.jpg,North India average 7 Richter scale #earthquake,2013-09-24T12:04:59.000Z,,India,77,20.0:
x,amithpanchal,https://pbs.twimg.com/media/BU7SvJaCEAATtBz.jpg,_†¬™‚Ä† _†¬™¬§_†¬´‚Ä_ _†¬™¬__†¬™_ì_†¬™¬®_†¬´‚Ç¨_†¬™‚Ä¢_†¬™¬æ_†¬™‚Äö_†¬™¬§ _†¬™¬®_†¬´‚Ä_ _†¬™¬Æ_†¬´‚Ä__†¬™¬¨_†¬™¬æ_†¬™ÀÜ_†¬™¬_ _†¬™‚Ä†_†¬™_ì_†¬´‚Ä° vibrate _†¬™¬™_†¬™¬_ _†¬™¬__†¬™¬§_†¬´‚Ä_ _†¬™¬è_†¬™___†¬™¬__†¬´‚Ä° ! #earthquake,2013-09-24T12:04:02.000Z,Gujar_Ñ¬Åt,India,72.58726,23.02579:
x,FARID17PATHAN,https://pbs.twimg.com/media/BU7TovtCMAAYL6V.jpg,"If you phone vibrates while checking Google Maps on Android, it's an #earthquake joke..",2013-09-24T12:04:54.000Z,Gujar_Ñ¬Åt,India,72.58726,23.02579:
x,PT__BINOKULAR,https://pbs.twimg.com/media/BU7Q6ACCYAA57Gt.jpg,RT @RT_com: UPDATE: 7.4 quake strikes southwestern #Pakistan with tremors felt across region and as far as Delhi http://t.co/fmytyHEJf4,2013-09-24T12:04:38.000Z,Jakarta Raya,Indonesia,106.84513,-6.21462:
x,mahnooriqbal1D,https://pbs.twimg.com/media/BU7ThR_CAAEkTfy.jpg,#earthquake,2013-09-24T12:04:15.000Z,England,United Kingdom,-0.70312,52.16045:
x,Rowan_olmanbob,https://fbcdn-profile-a.akamaihd.net/hprofile-ak-prn1/50213_558055487593047_161113075_q.jpg,RT @RT_com: BREAKING: 7.8 magnitude quake strikes #Pakistan DETAILS TO FOLLOW,2013-09-24T12:05:06.000Z,,,,:
x,muditbagri,https://scontent-a-ord.xx.fbcdn.net/hphotos-ash3/q71/1240465_480873235352876_1661081123_n.jpg,#Earthquake - Finally Delhi shaken - hopefully some politician will wake up,2013-09-24T12:05:37.000Z,,,,:
x,SaveKhi,https://pbs.twimg.com/media/BU7Szc8CQAANZXl.jpg,RT @CNBCPAKISTAN: #Breaking: communication systems destroyed in Awaran and parts of Balochistan after severe Earthquake #Pakistan,2013-09-24T12:05:11.000Z,Sindh,Pakistan,67.0822,24.9056:
x,fmtn_mrk2,https://pbs.twimg.com/media/BU7QX4LCEAAb7Xh.jpg,"RT @AlArabiya_Eng: #BreakingNews:   Quake of 7.8 magnitude strikes 145 miles south-south east of Dalbandin in Baluchistan, #Pakistan",2013-09-24T12:05:34.000Z,,,,:
x,ZoyaGhafoorShah,https://fbcdn-profile-a.akamaihd.net/hprofile-ak-prn1/50213_558055487593047_161113075_q.jpg,RT @Sameen_Hamid: May Allah keep Everyone Safe! Ameen #earthquake,2013-09-24T12:05:16.000Z,,,,:
x,somaiya19,https://pbs.twimg.com/media/BU7T3tCCcAEyegu.jpg,RT @AsadSiddiqui_: Earthquake????!!!!!:o #Karachi #Pakistan,2013-09-24T12:05:33.000Z,,,,:
x,SportsReporter_,https://pbs.twimg.com/media/BU7S0fwCcAALKmW.jpg,"RT @etribune: (Breaking) Reports are coming in of houses damaged in Pasni and Awaran, Balochistan after the earthquake.http://t.co/C6ZRzBMT_¢‚Ç¨¬¶",2013-09-24T12:05:22.000Z,,,,:
x,NEWSFolders,https://pbs.twimg.com/media/BU7T5xyCEAAxy7T.jpg,"Islamabad: Strong earthquake, 7.8 magnitude, reported in #Balochistan, Pakistan, @USGS says; shaking felt across region - Update soon",2013-09-24T12:06:18.000Z,,,,:
x,Manithan1st,https://fbcdn-profile-a.akamaihd.net/hprofile-ak-prn1/50213_558055487593047_161113075_q.jpg,"7.8 earthquake, 69km NNE of Awaran, Pakistan. Sep 24 16:29 at epicenter (32m ago, depth 15km)-Satru Mun #Pakistan'il Nila Athirvu.",2013-09-24T12:07:32.000Z,,Sri Lanka,81,7.0:
x,DanyyOfficial,https://pbs.twimg.com/media/BU7Szc8CQAANZXl.jpg,The #real #khushi #happiness #coming #back to your #homeland #pakistan #desi #wish #pakistani #green http://t.co/11e5rnh5gk,2013-09-24T12:07:52.000Z,,United Kingdom,-2.69531,54.75844:
x,FaizAliKamran,http://d3j5vwomefv46c.cloudfront.net/photos/large/810837575.jpg?1380024459,"BREAKING: #Pakistan quake magnitude revised from 7.4 to 7.8, local TV says jolts lasted for about 2 mins",2013-09-24T12:08:48.000Z,Punjab,Pakistan,74.34361,31.54972:
x,SalmanTW_PK,https://fbcdn-profile-a.akamaihd.net/hprofile-ak-prn1/50213_558055487593047_161113075_q.jpg,RT @Shahidmasooddr: Reports of casualties from Balochistan! #Earthquake,2013-09-24T12:08:53.000Z,,,,:
x,mobipik,https://pbs.twimg.com/media/BU7SopqCIAARThc.jpg,"Strong #earthquake strikes remote western Pakistan, felt in New Delhi #India",2013-09-24T12:08:17.000Z,NCT,India,77.22445,28.63576:
x,eizaburomake,https://scontent-a-ord.xx.fbcdn.net/hphotos-prn2/q71/s720x720/1234739_568070869924842_783339189_n.jpg,"RT @RT_com: BREAKING: #Pakistan quake magnitude revised from 7.4 to 7.8, local TV says jolts lasted for about 2 mins http://t.co/fmytyHEJf4",2013-09-24T12:08:34.000Z,,,,:
x,amzarul,https://pbs.twimg.com/media/BU7UpEBCUAA1a3V.jpg,"RT @RT_com: BREAKING: #Pakistan quake magnitude revised from 7.4 to 7.8, local TV says jolts lasted for about 2 mins http://t.co/fmytyHEJf4",2013-09-24T12:09:16.000Z,Pulau Pinang,Malaysia,100.33543,5.41123:
x,SedraHassan,https://fbcdn-profile-a.akamaihd.net/hprofile-ak-prn1/50213_558055487593047_161113075_q.jpg,Actually for Media and people outside offices are having a auditions on road #Pakistan #Karachi,2013-09-24T12:09:20.000Z,,,,:
x,HewadNews,https://pbs.twimg.com/media/BU7UrT4CcAELeH3.png,"Earth Quake Was Felt At 04:29 PM, After Shocks May Come. Director Seismic Zahid Rafi #Earthquake #Quetta #Balochistan #Karachi #Sindh",2013-09-24T12:09:36.000Z,,,,:
x,robertore62,https://pbs.twimg.com/media/BU7SopqCIAARThc.jpg,"RT @BreakingNews:Strong #earthquake, 7.8 magnitude, reported in Balochistan, Pakistan, USGS says; shaking felt across region - @Reuters",2013-09-24T12:09:00.000Z,,,,:
x,zuk60,https://pbs.twimg.com/media/BU7ThR_CAAEkTfy.jpg,RT @sabena_siddiqi: The #earthquake struck at a depth of 28km Express News reports. http://t.co/rrZjSIAVcG_¢‚Ç¨¬¶ #Pakistan,2013-09-24T12:09:15.000Z,,United Kingdom,-2.69531,54.75844:
x,Wolfgang_H,https://pbs.twimg.com/media/BU7AXeECUAIV5nG.jpg,RT @Muschelschloss: Sehr schweres #Erdbeben in #Pakistan. USGS meldet eine St_É¬§rke von 7.4 Magn. http://t.co/r277ThjD53 http://t.co/cBGZre5C_¢‚Ç¨¬¶,2013-09-24T12:09:56.000Z,,Austria,13.33333,47.33333:
x,QuakesToday,https://fbcdn-sphotos-e-a.akamaihd.net/hphotos-ak-frc1/q71/s720x720/1239888_569124169819512_1705347804_n.jpg,"2.0 magnitude #earthquake. 26 km from King City, CA, United States.http://t.co/VkwRVx3K1x",2013-09-24T12:10:26.000Z,,,,:
x,zuk60,https://pbs.twimg.com/media/BU7SopqCIAARThc.jpg,@sabena_siddiqi #ALLAH is 'Naraaz' with our deeds.. #oneummah #unity #peace #Respect &gt;&gt;&gt; dead if it ever existed #pakistan,2013-09-24T12:10:28.000Z,,United Kingdom,-2.69531,54.75844:
x,AlessAmato,https://pbs.twimg.com/media/BU7SopqCIAARThc.jpg,#terremoto #Pakistan Zona poco abitata fortunatamente: 16.000 entro il IX grado Mercalli #SalaSismica #INGV http://t.co/dP5I1aJh2I,2013-09-24T12:10:49.000Z,Latium,Italy,12.49575,41.90036:
x,QuakesToday,https://fbcdn-profile-a.akamaihd.net/hprofile-ak-prn1/50213_558055487593047_161113075_q.jpg,"5.9 magnitude #earthquake. 110 km from Khuzdar, Balochistan, Pakistan.http://t.co/nyWYapzwfz",2013-09-24T12:10:12.000Z,,,,:
x,abc15,https://pbs.twimg.com/media/BU7U-o_CAAEODEG.jpg,UPDATE: Official says #earthquake of magnitude 7.7 hits southwestern #Pakistan. -@AP,2013-09-24T12:10:21.000Z,Arizona,United States,-112.07404,33.44838:
x,HENRYFOREROJ,https://pbs.twimg.com/media/BU7R0PVCIAAOTPq.jpg,RT @CNBCPAKISTAN: #Breaking: communication systems destroyed in Awaran and parts of Balochistan after severe Earthquake #Pakistan,2013-09-24T12:10:48.000Z,Atl_É¬°ntico,Colombia,-74.78132,10.96854:
x,HockeyTarheel,https://pbs.twimg.com/media/BU7M1rpCUAAZWLz.png,"RT @RT_com: BREAKING: #Pakistan quake magnitude revised from 7.4 to 7.8, local TV says jolts lasted for about 2 mins http://t.co/fmytyHEJf4",2013-09-24T12:10:05.000Z,,,,:
x,Pakistani86,https://pbs.twimg.com/media/BU7ThR_CAAEkTfy.jpg,RT @plus_socialgood: #SocialGoodSummit on tech + media -&gt; #2030Now under way in #Pakistan &amp; #Turkey. Follow @UNDP_Pakistan &amp; @UNDPTurkiye f_¢‚Ç¨¬¶,2013-09-24T12:10:14.000Z,,,,:
x,jhinjhak05,https://pbs.twimg.com/media/BU7VD8ICUAAPJjT.jpg,#earthquake Pakistan...are you ok?,2013-09-24T12:11:05.000Z,Uttar Pradesh,India,80.34627,26.4478:
x,ChristianFathe,https://pbs.twimg.com/media/BU7VNttCYAI5VrL.jpg,#Karachi People rush out of their offices as 7.8 magnitude #Earthquake jolts #Pakistan http://t.co/cfoCwkPyhb,2013-09-24T12:11:25.000Z,,Pakistan,70,30.0:
x,SriLanka,https://pbs.twimg.com/media/BU7VK3GCUAEycEq.jpg,A 7.8 magnitude #earthquake struck in #Pakistan and was felt in the Indian capital of #NewDelhi where buildings shook-Foreign media,2013-09-24T12:11:41.000Z,,,,:
x,oddyvinny,https://pbs.twimg.com/media/BU4ahhKCEAAHVkg.jpg,RT @RT_com: BREAKING: 7.8 magnitude quake strikes #Pakistan DETAILS TO FOLLOW,2013-09-24T12:11:45.000Z,,Kenya,37.94052,0.23206:
x,Urdu_Quran,https://fbcdn-profile-a.akamaihd.net/hprofile-ak-prn1/50213_558055487593047_161113075_q.jpg,_ò¬ß_õ‚Äô _ò¬ß_õ_í_ô‚Ä¶_ò¬ß_ô‚Ä† _ôÀÜ_ò¬ß_ô‚Äû_ôÀÜ ! _ò¬±_ö¬©_ôÀÜ_ò¬_ _ò¬ß_ôÀÜ_ò¬± _ò¬__ò¬¨_ò¬Ø_õ¬Å _ö¬©_ò¬±_ôÀÜ _ò¬ß_ôÀÜ_ò¬± _ò¬ß_ô¬æ_ô‚Ä†_õ‚Äô _ò¬±_ò¬® _ö¬©_õ_í _ò¬®_ô‚Ä†_ò¬Ø_ö¬Ø_õ_í _ö¬©_ò¬±_ôÀÜ _ò¬ß_ôÀÜ_ò¬± _ò¬®_ö¬æ_ô‚Äû_ò¬ß_ò¬¶_õ_í _ö¬©_ò¬±_ôÀÜ _ò¬™_ò¬ß_ö¬©_õ¬Å _ò¬™_ô‚Ä¶_õ¬Å_ò¬ß_ò¬±_ò¬ß _ò¬®_ö¬æ_ô‚Äû_ò¬ß _õ¬Å_ôÀÜ-(_ò¬__ôÀÜ_ò¬±_ò¬© _ò¬ß_ô‚Äû_ò¬__ò¬¨ 77) #EarthQuake,2013-09-24T12:12:57.000Z,,,,:
x,z_a_siddiqui,https://pbs.twimg.com/media/BU7VRp4CYAAanhi.jpg,"jese zalzlay se bahir nikal aye sab, wese namaz k lye nikal aya karen, tou zalaza na aye :) #earthquake  #karachi",2013-09-24T12:12:55.000Z,Sindh,Pakistan,67.0822,24.9056:
x,BitCoin_Win,https://pbs.twimg.com/media/BU7VRp4CYAAanhi.jpg,RT @RT_com: BREAKING: 7.8 magnitude quake strikes #Pakistan DETAILS TO FOLLOW,2013-09-24T12:12:24.000Z,,,,:
x,altaf_nz,https://pbs.twimg.com/media/BU7VRp4CYAAanhi.jpg,"RT @sorayalennie: Reports - 7.8 magnitude quake in pakistan balochistan province, borders iran. No news of casualties. #iran #Pakistan",2013-09-24T12:12:39.000Z,Auckland,New Zealand,174.78333,-36.85:
x,IsraelZarceno,https://pbs.twimg.com/media/BU7VRp4CYAAanhi.jpg,"RT @RT_com: BREAKING: #Pakistan quake magnitude revised from 7.4 to 7.8, local TV says jolts lasted for about 2 mins http://t.co/fmytyHEJf4",2013-09-24T12:12:50.000Z,,,,:
x,ARISCHILLAN,https://pbs.twimg.com/media/BU7VRp4CYAAanhi.jpg,"RT @SebaYevenes: [URGENTE] #PAKISTAN: Fuerte Terremoto de 7,8 grados sacude al pa_É¬_s. SHOA descarta tsunami para #Chile",2013-09-24T12:13:44.000Z,,,,:
x,sankalhoro,https://fbcdn-profile-a.akamaihd.net/hprofile-ak-prn1/50213_558055487593047_161113075_q.jpg,"RT @AJELive: #BreakingNews: Strong earthquake strikes remote western #Pakistan, felt in New Delhi | More soon... http://t.co/j8ob17QFMl",2013-09-24T12:13:23.000Z,Sindh,Pakistan,67.0822,24.9056:
x,RjRajaJee,https://pbs.twimg.com/media/BU7Vq9mCIAA9Am2.png,and Allah has given us another warning. #Karachi #Earthquake,2013-09-24T12:13:12.000Z,,,,:
x,SaudagarMerym,https://pbs.twimg.com/media/BU7VRp4CYAAanhi.jpg,RT @etribune: (Breaking) Chief Meteorologist confirms a 7.7 magnitude earthquake struck parts of Sindh and Balochistan.http://t.co/C6ZRzBMT_¢‚Ç¨¬¶,2013-09-24T12:13:56.000Z,,,,:
x,FatiaHikma,https://pbs.twimg.com/media/BU7VRp4CYAAanhi.jpg,"RT @680News: 7.5-magnitude #earthquake strikes southern coast of #Pakistan, USGS says. No reports of damages or injuries. http://t.co/1HCyc_¢‚Ç¨¬¶",2013-09-24T12:13:48.000Z,,,,:
x,fayyazalishah,https://pbs.twimg.com/media/BU7VRp4CYAAanhi.jpg,"Muhammad Tauseef Alam. Chief Meteorologist says today's earthquake was bigger and severe than that of 8th October , 2005#earthquake",2013-09-24T12:14:23.000Z,,,,:
x,voltaire,https://pbs.twimg.com/media/BU7VRp4CYAAanhi.jpg,Stay safe #Pakistan ! _¢‚Ç¨_ì@AsadNasir80: This is what saved us. #Earthquake http://t.co/2UwLjyKvWG_¢‚Ç¨¬ù,2013-09-24T12:14:58.000Z,,Philippines,122,13.0:
x,AmaanBaluch,https://pbs.twimg.com/media/BU7Vzy3CEAAzK3I.jpg,Finaly #Teen se jaaan choooot gai :P #earthquake will gonna be top on the Trnd in Pakistan :P,2013-09-24T12:14:45.000Z,,Pakistan,70,30.0:
x,wakeuptariq,https://pbs.twimg.com/media/BU7VRp4CYAAanhi.jpg,Stupid people .. instead of running out of Building they are updating #Earthquake on FB &amp; twitter,2013-09-24T12:14:36.000Z,Sindh,Pakistan,67.0822,24.9056:
x,zayedbaloch,https://pbs.twimg.com/media/BU7VRp4CYAAanhi.jpg,"#Earthquake: Many people injured and various houses are reported major damage in Dalhandin Mashkeel, Awaran and other areas of #Balochistan.",2013-09-24T12:14:47.000Z,,Bahrain,50.5,26.0:
x,nim_RAmxan,https://pbs.twimg.com/media/BU7V2-jCQAAx8A0.png,"RT @TimeUrdu: aaj ka lafz : "" dhoo'n-taal "" means zalzala, taqatwar, zoraawar or bhonchal #TimeUrdu #Earthquake",2013-09-24T12:14:32.000Z,,,,:
x,valariyansteel,https://pbs.twimg.com/media/BU7U-o_CAAEODEG.jpg,Seriously koi warning system hona chaiye. So that a man knows whether it is an appropriate time to take a shower :P #earthquake,2013-09-24T12:14:32.000Z,Sindh,Pakistan,67.0822,24.9056:
x,lpasqualis,https://pbs.twimg.com/media/BU7U-o_CAAEODEG.jpg,"A significant #earthquake was reported by the USGS: M 7.4 - 69km NNE of Awaran, Pakistan",2013-09-24T12:15:25.000Z,Washington,United States,-122.20068,47.61038:
x,B5_Rundschau,https://pbs.twimg.com/media/BU7V-BPCYAIBU30.jpg,"Ein schweres #Erdbeben der St_É¬§rke 7,7 hat Beh_É¬_rdenangaben zufolge am Dienstag den S_É¬ºdwesten von #Pakistan ersch_É¬ºttert.",2013-09-24T12:15:55.000Z,,,,:
x,TimeUrdu,https://fbcdn-profile-a.akamaihd.net/hprofile-ak-prn1/50213_558055487593047_161113075_q.jpg,"the Urdu word for #Earthquake ""zalzala"" came from Arabic language derived from zalzil means violently shaken having roots zal =&gt; [to slip]",2013-09-24T12:15:08.000Z,,,,:
x,Kali_Ghata,https://pbs.twimg.com/media/BU7ThR_CAAEkTfy.jpg,"RT @Moiz: 8 seconds, 15km deep, 7.8, 69km NNE of Awaran, Balochistan, Pakistan. #earthquake",2013-09-24T12:15:14.000Z,Central Region,Nepal,85.3206,27.70169:
x,syedmhaider,https://pbs.twimg.com/media/BU7U-o_CAAEODEG.jpg,"RT @stalemt: @syedmhaider looks like even god is not in favor of dialogue with the beasts #TTP #Taliban killer of 70K pakistani's, so he se_¢‚Ç¨¬¶",2013-09-24T12:15:51.000Z,,,,:
x,sameen_mohsin,https://pbs.twimg.com/media/BU6TLRbCEAAZqu8.jpg,RT @etribune: (News) Rape cases: _¢‚Ç¨ÀúDNA test not admissible as primary evidence_¢‚Ç¨‚Ñ¢ http://t.co/THWZ3SIIUJ #Pakistan,2013-09-24T12:15:33.000Z,Punjab,Pakistan,74.34361,31.54972:
x,sirgolly,https://pbs.twimg.com/media/BU7VRp4CYAAanhi.jpg,"RT @Zuzzy: Violentissimo terremoto in #Pakistan, magnitudo 7.8 http://t.co/kd4viXvaM3",2013-09-24T12:15:16.000Z,,Italy,12.83333,42.83333:
x,twinklespinalot,https://pbs.twimg.com/media/BU3-VSfCUAAjz_I.jpg,"RT @aneyeofsky: :7.4 magnitude #earthquake. 119 km from Bela, Balochistan, Pakistan.http://t.co/ZeXS1vzySL""",2013-09-24T12:15:13.000Z,,United Kingdom,-2.69531,54.75844:
x,usamaejaz,https://pbs.twimg.com/media/BU7U-o_CAAEODEG.jpg,"Strong #earthquake, #Awaran #Balochistan, #Hyderabad #Pakistan, Sep-24 11:36 UTC, http://t.co/L3gfRN9go8 :o",2013-09-24T12:15:12.000Z,,,,:
